T(C),b(CaO),b(SiO2),b(H2O),Vol(aq),pH,nCa(aq),nCa(s),nSi(aq),nSi(s_reac),nPortlandite,nAmor-Sl,mCSHQ,nCa(CSHQ),nSi(CSHQ),nH2O(CSHQ),C/S(CSHQ),nGelPW(CSH)
25.0,0.2764432,0.4076259,3.687042,0.05540391,9.992211,5.361282e-05,0.2763896,0.0001606517,0.4074652,0.0,0.0,0.05116308,0.2763896,0.4074652,0.6206727,0.6783145,0.2128748
25.0,0.9990011,0.6772603,4.724294,0.0527674,12.30721,0.0006953753,0.9983057,2.943822e-06,0.6772574,0.0,0.0,0.1291438,0.9983057,0.6772574,1.802295,1.474042,0.7445645
25.0,0.6070516,0.6586517,3.951318,0.04868311,11.47381,9.232253e-05,0.6069593,1.83959e-05,0.6586333,0.0,0.0,0.09625068,0.6069593,0.6586333,1.256735,0.9215436,0.464936
25.0,0.2925771,0.2609977,3.524145,0.05336873,11.78395,0.000195186,0.2923819,1.088623e-05,0.2609868,0.0,0.0,0.0423457,0.2923819,0.2609868,0.5699863,1.120294,0.2105939
25.0,0.6416303,0.4346119,5.031936,0.06998205,12.30743,0.0009227403,0.6407076,3.901529e-06,0.434608,0.0,0.0,0.08288014,0.6407076,0.434608,1.156673,1.474219,0.477874
25.0,0.3323059,0.2914997,5.352373,0.08506112,11.81203,0.0003318034,0.3319741,1.636993e-05,0.2914833,0.0,0.0,0.04772934,0.3319741,0.2914833,0.6438708,1.138913,0.2384898
25.0,0.3346101,0.3943111,6.303399,0.1010598,11.32697,0.000147789,0.3344623,5.037767e-05,0.3942607,0.0,0.0,0.0552338,0.3344623,0.3942607,0.7099048,0.8483277,0.2630655
25.0,0.3445303,0.4620142,7.442554,0.1207787,10.97317,0.0001164191,0.3444139,0.0001067953,0.4619074,0.0,0.0,0.06071943,0.3444139,0.4619074,0.7578122,0.745634,0.2741225
25.0,0.4174385,0.2920599,6.914819,0.1112054,12.24524,0.001250236,0.4161883,7.501703e-06,0.2920524,0.0,0.0,0.05452902,0.4161883,0.2920524,0.7572732,1.425047,0.307321
25.0,0.6597061,0.5755008,3.514937,0.04043406,11.82285,0.000161716,0.6595444,7.607612e-06,0.5754932,0.0,0.0,0.09456428,0.6595444,0.5754932,1.276728,1.146051,0.4734276
25.0,0.9760548,0.6827904,7.739325,0.1077523,12.24878,0.001222408,0.9748324,7.193128e-06,0.6827832,0.0,0.0,0.1276309,0.9748324,0.6827832,1.772953,1.427733,0.7202425
25.0,0.8898465,0.5589769,4.713661,0.05659182,12.43565,0.001041019,0.8888055,2.020199e-06,0.5589749,0.0,0.0,0.1118785,0.8888055,0.5589749,1.579269,1.590063,0.6726322
25.0,0.3381311,0.3103404,5.609394,0.08933437,11.73663,0.0002935433,0.3378376,2.00752e-05,0.3103203,0.0,0.0,0.04956125,0.3378376,0.3103203,0.6644808,1.088674,0.2447819
25.0,0.4983377,0.3774548,7.770998,0.1236831,12.09094,0.0009427562,0.4973949,1.267185e-05,0.3774421,0.0,0.0,0.06720877,0.4973949,0.3774421,0.9235379,1.317805,0.3595978
25.0,0.459457,0.612491,4.258735,0.05871095,10.99754,5.765037e-05,0.4593993,5.016953e-05,0.6124408,0.0,0.0,0.08074206,0.4593993,0.6124408,1.009256,0.7501122,0.3658825
25.0,0.6264996,0.6621153,6.093944,0.08685521,11.51599,0.0001787772,0.6263208,3.02436e-05,0.6620851,0.0,0.0,0.0980804,0.6263208,0.6620851,1.28652,0.9459824,0.4751871
25.0,0.4137307,0.5895185,2.995816,0.03744583,10.58855,3.167933e-05,0.413699,5.281011e-05,0.5894657,0.0,0.0,0.07525072,0.413699,0.5894657,0.9233219,0.7018204,0.3241506
25.0,0.7251468,0.6466325,4.07936,0.04817019,11.78526,0.0001767013,0.7249701,9.79931e-06,0.6466227,0.0,0.0,0.1049612,0.7249701,0.6466227,1.412958,1.121164,0.5221028
25.0,0.5451852,0.6676499,7.772879,0.1193011,11.24618,0.0001542629,0.5450309,6.872505e-05,0.6675812,0.0,0.0,0.09174957,0.5450309,0.6675812,1.169811,0.8164265,0.4323007
25.0,0.5869706,0.4567582,7.367912,0.1132803,12.03739,0.0007565134,0.5862141,1.323169e-05,0.456745,0.0,0.0,0.08007258,0.5862141,0.456745,1.096624,1.28346,0.4217083
25.0,0.2852676,0.2978511,3.467041,0.05209495,11.53502,0.0001113697,0.2851562,1.747901e-05,0.2978336,0.0,0.0,0.04439937,0.2851562,0.2978336,0.5835833,0.9574347,0.2153844
25.0,0.7650468,0.6252521,6.21715,0.08609878,11.94171,0.0004557846,0.764591,1.253787e-05,0.6252396,0.0,0.0,0.1065822,0.764591,0.6252396,1.450927,1.222877,0.5473309
25.0,0.5676232,0.5983176,3.905885,0.04952339,11.5203,0.0001028092,0.5675204,1.710023e-05,0.5983005,0.0,0.0,0.08875724,0.5675204,0.5983005,1.164771,0.9485541,0.4301428
25.0,0.364562,0.4086878,5.978747,0.09425101,11.41856,0.0001612886,0.3644007,3.959188e-05,0.4086482,0.0,0.0,0.05871651,0.3644007,0.4086482,0.7620481,0.8917223,0.2823561
25.0,0.571832,0.492962,6.592914,0.09919015,11.84286,0.0004155902,0.5714164,1.789342e-05,0.4929441,0.0,0.0,0.08151895,0.5714164,0.4929441,1.102241,1.159191,0.4096552
25.0,1.025017,0.6740506,7.75117,0.1068174,12.35888,0.00160873,1.023408,5.02573e-06,0.6740456,0.0,0.0,0.1309607,1.023408,0.6740456,1.835723,1.518307,0.7691506
25.0,0.2344029,0.2182164,6.251832,0.1045903,11.71294,0.0003259914,0.2340769,2.465835e-05,0.2181917,0.0,0.0,0.03456843,0.2340769,0.2181917,0.4625019,1.072804,0.1702258
25.0,0.4739388,0.6841072,4.756573,0.06678326,10.43549,5.702968e-05,0.4738818,0.0001115754,0.6839956,0.0,0.0,0.08677424,0.4738818,0.6839956,1.060365,0.692814,0.3691873
25.0,0.9382059,0.6292814,3.347323,0.02994745,12.32659,0.0004148671,0.937791,1.569472e-06,0.6292798,0.0,0.0,0.1208255,0.937791,0.6292798,1.688938,1.490261,0.7015409
25.0,0.7170643,0.5312899,3.972473,0.04786863,12.13809,0.0004104144,0.7166539,4.347809e-06,0.5312856,0.0,0.0,0.09593026,0.7166539,0.5312856,1.322224,1.348905,0.5209764
25.0,0.1839494,0.2080779,4.044704,0.06611154,11.40265,0.0001099505,0.1838394,2.861966e-05,0.2080493,0.0,0.0,0.02975472,0.1838394,0.2080493,0.3855049,0.8836342,0.1428753
25.0,0.3963727,0.5558076,3.641142,0.04986121,10.72716,4.289694e-05,0.3963298,6.012763e-05,0.5557475,0.0,0.0,0.0714972,0.3963298,0.5557475,0.881493,0.7131473,0.3123644
25.0,0.8274525,0.6335453,6.611676,0.09162133,12.07118,0.0006649901,0.8267875,9.860749e-06,0.6335354,0.0,0.0,0.112161,0.8267875,0.6335354,1.539325,1.305038,0.59654
25.0,0.5348796,0.527872,3.105301,0.03667006,11.62303,9.401946e-05,0.5347856,1.034764e-05,0.5278617,0.0,0.0,0.08108236,0.5347856,0.5278617,1.075573,1.013117,0.3957901
25.0,0.6799458,0.6789604,4.412082,0.05491977,11.60479,0.0001354948,0.6798103,1.606655e-05,0.6789443,0.0,0.0,0.1036369,0.6798103,0.6789443,1.372225,1.001275,0.505178
25.0,0.7891506,0.6532712,3.580059,0.03752398,11.91793,0.0001876589,0.7889629,5.759443e-06,0.6532654,0.0,0.0,0.1105682,0.7889629,0.6532654,1.502847,1.207722,0.5646012
